Identificatie,Volgnummer,Registratiedatum,Name,Code,Begingeldigheid,Eindgeldigheid,Documentdatum,Documentnummer,Cbscode,Ligtinstadsdeelid,Ligtinggwgebiedid,Geometrie,Aantalpassanten
3630970000056,1,2022-01-04T14:39:38,Schinkelbuurt,KB,2022-03-24T00:00:00,,2022-02-16,VN2022-001699,WK0363KB,3630011872038,3630950000032.0,"POLYGON ((4.857407774306577 52.349829173693344, 4.856751748750013 52.35126084544345, 4.856601874729573 52.3515201628864, 4.856317983298418 52.35218766080687, 4.856124546658045 52.35278373363206, 4.855646602434549 52.3541271018207, 4.855489421396912 52.354665383133785, 4.85583700108487 52.35462065696749, 4.855745438667453 52.35466460950633, 4.855707594560298 52.35472245560425, 4.855721671875759 52.35478736553078, 4.855741818369776 52.35481247792253, 4.855800813850007 52.35485028467927, 4.85569663917363 52.355017034301085, 4.855661257150225 52.35502370612279, 4.855021474654158 52.3563199226819, 4.855079255307289 52.35640774121416, 4.854117283294806 52.356520739151534, 4.853767265819856 52.355344228004704, 4.853687651415403 52.35524873370827, 4.853547673553178 52.354774034064384, 4.852365361118783 52.350949470929415, 4.851555678777983 52.34844617419318, 4.851373398902835 52.348047253434196, 4.851272294260172 52.34782597491704, 4.8511606811458154 52.34764126492201, 4.850568793693669 52.34676692076975, 4.849056831458602 52.3437991286195, 4.848810045227543 52.343437164456205, 4.848175603002199 52.34276569280129, 4.849786171468327 52.34292181031321, 4.85009434589987 52.3430134107972, 4.8511111604539545 52.34325224293402, 4.852016657934707 52.3433977370837, 4.8519110644378065 52.34362966571169, 4.851632014708784 52.344037742964886, 4.8515152033950075 52.34437324962234, 4.851436888110535 52.34470228845159, 4.851465055846962 52.34526358625103, 4.851481962334504 52.34534624253709, 4.851540961856164 52.34551250495906, 4.851584401408342 52.34559763611133, 4.851713704194625 52.345782821293966, 4.851832707108255 52.34592165467899, 4.852002199610266 52.34609176006684, 4.852212284890281 52.34626321711247, 4.852418563111626 52.34641581818253, 4.852628002361338 52.346552219205094, 4.852805133081043 52.34664297782738, 4.852923796459413 52.346693440684824, 4.853173820197192 52.34677960248076, 4.853498967777456 52.34685626989936, 4.857567975727412 52.34741692503159, 4.857527424552696 52.34794587188607, 4.857453487529783 52.34974231375681, 4.857407774306577 52.349829173693344))",0
3630970000094,1,2022-01-04T14:39:38,Waterlandpleinbuurt,NJ,2022-03-24T00:00:00,,2022-02-16,VN2022-001699,WK0363NJ,3630000000019,3630950000041.0,"POLYGON ((4.954914218897514 52.4010930559327, 4.953960899554458 52.40164774965479, 4.953179720464397 52.402078659832824, 4.952560682439068 52.40240867162523, 4.951798130647649 52.40279845975244, 4.947333175453983 52.39863037410893, 4.946559030929155 52.39790765960377, 4.9457588831674775 52.39774931129755, 4.944781925508733 52.39806538365128, 4.942365994858163 52.3958070451414, 4.940932577919269 52.394467420279405, 4.943371770922723 52.3937407846656, 4.944206551885155 52.39349208488876, 4.95160008467731 52.39129171206602, 4.951930441669092 52.39070858597242, 4.952424365974457 52.38983024910467, 4.9524240155562875 52.3867201354229, 4.9524239717226335 52.38630815035394, 4.953905581230747 52.386747207131975, 4.959981033172584 52.388208783864435, 4.960050906578747 52.388235189920074, 4.960117832606952 52.388279362864644, 4.9602290469057335 52.388431933618385, 4.960299254055602 52.38849085801958, 4.960360699339039 52.38852152061696, 4.960440345471592 52.38854604728976, 4.962960036171752 52.38907039659941, 4.966857439207057 52.39000098624703, 4.963542891977526 52.393890565517566, 4.962809227328028 52.39474282467518, 4.961977087063419 52.39564984687534, 4.961662707934229 52.39597276686957, 4.961226708475876 52.39640052081565, 4.960512403076423 52.3970627468289, 4.959706069703536 52.39775554486896, 4.958956041965496 52.39836031841767, 4.9586246493423065 52.39861351467127, 4.957659357985839 52.39931924089646, 4.956563245529539 52.40006317545883, 4.955707161660851 52.40061243965746, 4.954914218897514 52.4010930559327))",0
3630970000057,1,2022-01-04T14:39:38,Willemspark,KC,2022-03-24T00:00:00,,2022-02-16,VN2022-001699,WK0363KC,3630011872038,3630950000032.0,"POLYGON ((4.867974063047021 52.355266649966325, 4.86763452227827 52.35585030789899, 4.867582201869158 52.35591465525521, 4.867494139249654 52.35597765029725, 4.867397064661588 52.356019241807644, 4.867294818218346 52.35602740303977, 4.8671937530442495 52.35601492450061, 4.867129821911471 52.356101717000456, 4.865534314242541 52.35885179742642, 4.865518918950692 52.35886020502992, 4.865480152410264 52.35901226869815, 4.865446101180464 52.359006743945685, 4.863665726076214 52.35857925430526, 4.8631794222091 52.35847037300136, 4.863173709970687 52.358479227614225, 4.8622511496470455 52.35824803747686, 4.86224231630172 52.358261363093845, 4.861806932640759 52.358152126709314, 4.861817651818711 52.358134513347586, 4.859801802553715 52.35761529639563, 4.858938644034693 52.357403587713996, 4.855079255307289 52.35640774121416, 4.855021474654158 52.3563199226819, 4.855661257150225 52.35502370612279, 4.85569663917363 52.355017034301085, 4.855800813850007 52.35485028467927, 4.855741818369776 52.35481247792253, 4.855721671875759 52.35478736553078, 4.855707594560298 52.35472245560425, 4.855745438667453 52.35466460950633, 4.85583700108487 52.35462065696749, 4.855489421396912 52.354665383133785, 4.855646602434549 52.3541271018207, 4.856124546658045 52.35278373363206, 4.856317983298418 52.35218766080687, 4.856601874729573 52.3515201628864, 4.856751748750013 52.35126084544345, 4.857407774306577 52.349829173693344, 4.860912627861241 52.35076437558129, 4.8615780305610015 52.34972610840037, 4.865297669265406 52.35069178443883, 4.8660734905419085 52.35089557602335, 4.87038428433587 52.35204173110191, 4.870560471173934 52.35206976911995, 4.870403344315838 52.352537651027895, 4.870070432761661 52.35300285943436, 4.869939815503755 52.353085820934176, 4.86978970780414 52.353181163114314, 4.869037532267149 52.35416183450707, 4.868910821970265 52.354364780546405, 4.868157199526457 52.35531893500693, 4.867974063047021 52.355266649966325))",2418
3630970000029,1,2022-01-04T14:39:38,Van Galenbuurt,EK,2022-03-24T00:00:00,,2022-02-16,VN2022-001699,WK0363EK,3630011872036,3630950000026.0,"POLYGON ((4.855562444632974 52.374355940561195, 4.855096285279972 52.37429331424327, 4.85494757465052 52.37426479288323, 4.854805490260127 52.37422744821641, 4.854650081283275 52.374173443112056, 4.853141383210395 52.37355453839556, 4.852892040180042 52.373483470943796, 4.8524110960195594 52.37339976294937, 4.851117375148676 52.37317108867923, 4.849987500208417 52.37294266737777, 4.849308288267078 52.372813629598454, 4.848874471237401 52.37274158062767, 4.847118270363221 52.37244067249944, 4.84677774071349 52.3724103938881, 4.8463616447332765 52.37235851314258, 4.8460801442613715 52.372293584777886, 4.845913425518913 52.37226649762943, 4.845548557132375 52.37223093625317, 4.8452723413482435 52.37221317981567, 4.844387544182258 52.372189767139304, 4.843031834172805 52.37221321259238, 4.843022088580203 52.37190880693957, 4.842849162995409 52.371911526236396, 4.842847748235061 52.37187724048606, 4.842791919680839 52.371860419389165, 4.842706616856914 52.37086534468284, 4.842568561409979 52.37002799565651, 4.8425567196966295 52.36982643593598, 4.842562995597381 52.36958556626106, 4.845216009432391 52.36961880806556, 4.845714782639079 52.36963765467739, 4.846182278618461 52.36967109616576, 4.8466119926514795 52.36971554405353, 4.847015058906617 52.369769476696746, 4.847623509773158 52.36986283865646, 4.847739521068938 52.36960957144307, 4.848352639658093 52.369713889009425, 4.850260066787913 52.37003690098673, 4.853687957206106 52.37063372396879, 4.856550522477436 52.3711245290557, 4.855562444632974 52.374355940561195))",0
3630970000059,1,2022-01-04T14:39:38,Oude Pijp,KE,2022-03-24T00:00:00,,2022-02-16,VN2022-001699,WK0363KE,3630011872038,3630950000034.0,"POLYGON ((4.904629105794884 52.359210670429704, 4.903995387767107 52.359047393858184, 4.901669430627512 52.35859366741457, 4.899241434985725 52.358098885919944, 4.899000757695877 52.35804731064256, 4.898755431977134 52.35800466747456, 4.89850638068407 52.357971121976675, 4.898254497797116 52.357946794659014, 4.898033646974922 52.35793319157717, 4.896172125904802 52.35804521925906, 4.890874716896351 52.3583678697949, 4.890649402141683 52.358395056514105, 4.890432124622292 52.35843073399279, 4.890210438879305 52.3584772497516, 4.890003090885578 52.3585306649837, 4.889802019731907 52.35859243785881, 4.8896002211068375 52.35866536111592, 4.889399639719445 52.358750108021546, 4.889247776029476 52.358826053814084, 4.888926003679248 52.35901732502426, 4.88863898937914 52.35922831703927, 4.8884066971321065 52.35943952995345, 4.888287028265705 52.35958288336224, 4.888170228497821 52.35970340192004, 4.887945324574723 52.35989425189675, 4.887680381537773 52.360072421575644, 4.88738383212161 52.3602308190204, 4.886958726054346 52.35992290115945, 4.886789643231955 52.35959971556859, 4.886718369472845 52.35873043490811, 4.886598256781603 52.357265428857524, 4.886577060443121 52.356851588565576, 4.8866926618268005 52.35529344105616, 4.886754326339485 52.35462052869327, 4.886772580393942 52.354410175784125, 4.886780649090118 52.35393672645048, 4.886763247582049 52.35354820246805, 4.88676788034306 52.35337816488868, 4.886618893802855 52.35314690032263, 4.886562218799272 52.35302748308971, 4.886512674769131 52.35288749607041, 4.886493871348527 52.35276529100418, 4.886480060865118 52.35223436219252, 4.886797847040529 52.3522291809795, 4.8870603925074825 52.35224559675716, 4.891130283360245 52.35279017839449, 4.894551381029592 52.35324796670569, 4.899085636346007 52.35414757676072, 4.901240696656352 52.35482658738764, 4.904806587250653 52.35595077144963, 4.904991737069192 52.355992195303415, 4.90605081554955 52.356167271689, 4.904885570873712 52.358749566707715, 4.904629105794884 52.359210670429704))",1228
3630970000060,1,2022-01-04T14:39:38,Nieuwe Pijp,KF,2022-03-24T00:00:00,,2022-02-16,VN2022-001699,WK0363KF,3630011872038,3630950000034.0,"POLYGON ((4.894742487348318 52.35132071994514, 4.897582882734089 52.351722400643446, 4.897673995270946 52.351776119751975, 4.898086608038985 52.35183487067959, 4.89895578349357 52.351595942820374, 4.903028255144805 52.35216991106103, 4.904171470333382 52.35237194352572, 4.9052090098918475 52.35260561188468, 4.908359090112691 52.353388538011515, 4.906547248022431 52.35538348210156, 4.90605081554955 52.356167271689, 4.904991737069192 52.355992195303415, 4.904806587250653 52.35595077144963, 4.901240696656352 52.35482658738764, 4.899085636346007 52.35414757676072, 4.894551381029592 52.35324796670569, 4.891130283360245 52.35279017839449, 4.8870603925074825 52.35224559675716, 4.886797847040529 52.3522291809795, 4.886480060865118 52.35223436219252, 4.886521442376361 52.35065435579624, 4.886276366650344 52.348471820076014, 4.891275830781117 52.34822657522891, 4.895257783961238 52.3480111198752, 4.895291107990638 52.34826591733431, 4.894636040446692 52.35002652671394, 4.894537501826008 52.350437548765356, 4.8945545501803425 52.35056903857438, 4.894742487348318 52.35132071994514))",0
3630970000058,1,2022-01-04T14:39:38,Museumkwartier,KD,2022-03-24T00:00:00,,2022-02-16,VN2022-001699,WK0363KD,3630011872038,3630950000032.0,"POLYGON ((4.886718369472845 52.35873043490811, 4.886789643231955 52.35959971556859, 4.886958726054346 52.35992290115945, 4.88738383212161 52.3602308190204, 4.886295040485301 52.360777938129814, 4.885380621576583 52.36123480369442, 4.884399213984411 52.361724991835935, 4.884230227489495 52.361791942642654, 4.884040454664785 52.36184703992028, 4.883840351950254 52.36188608581905, 4.883633509557182 52.36190838552702, 4.882629516081476 52.361926202467124, 4.882505569973377 52.36193611787309, 4.882392531903928 52.36195504942258, 4.882254985888854 52.361992516894446, 4.882094053879825 52.36205440296903, 4.880597302238738 52.36163016752556, 4.87858149147869 52.36109144520441, 4.877448226251323 52.36077919011527, 4.877383137853052 52.36086947029108, 4.877353515532563 52.36086154135926, 4.877191891919796 52.3610931962097, 4.876743151523776 52.36096667406854, 4.876883066402506 52.360765493543774, 4.876910529712348 52.36077221791793, 4.87696301011176 52.36075838730049, 4.876979206986094 52.36073375879999, 4.87701552651899 52.36073631505733, 4.877030785200699 52.36071284192496, 4.876927770892621 52.36068742100573, 4.876947368072498 52.360658169491984, 4.876628140377852 52.36057913004446, 4.876615386330753 52.36061584388277, 4.8765880439378995 52.36062413847541, 4.876551047784929 52.36067910969475, 4.876561387819609 52.36069653658704, 4.876491297331489 52.360797804684175, 4.876254352333232 52.36073672616203, 4.876178960691312 52.36080491428599, 4.875864194451652 52.360714558496824, 4.875820830160743 52.36076789317756, 4.87559589686002 52.36081741443343, 4.875526620623274 52.3607485655251, 4.875463662030848 52.36070475676806, 4.875387597500464 52.360678453361125, 4.875311113398474 52.36067198403557, 4.875239735153022 52.36068104059547, 4.875024768043251 52.36078284960726, 4.874600718038184 52.360908927735046, 4.874390457361748 52.36092592967486, 4.874248366146004 52.36092956527508, 4.874152835096322 52.36096297216781, 4.874071242060122 52.36098060299884, 4.8740138718045705 52.36101728494125, 4.873930855257312 52.36099551623406, 4.873851746561814 52.36097478002917, 4.873823412193955 52.36085304402407, 4.8737839079916405 52.360806001628326, 4.873722415519887 52.360782798203694, 4.873602320941712 52.360750505565015, 4.873515043233612 52.36073673514174, 4.873285193367326 52.36074916522985, 4.873011396232058 52.36064450042724, 4.872449757475709 52.36047433034696, 4.872175645513233 52.36040722200564, 4.871911003661145 52.3603590374981, 4.871840546556333 52.36034943746215, 4.871535767884912 52.36035442862253, 4.871385166089871 52.360567483082335, 4.8712711898491134 52.36053946593163, 4.871470983018101 52.36024583509587, 4.871297270975956 52.36020033719005, 4.871241748325562 52.360282539788116, 4.870055178064673 52.359981566494085, 4.869953158302726 52.360121922796026, 4.868640421643579 52.35976718545306, 4.868146347938942 52.35964144758876, 4.8668753636528965 52.35935028217758, 4.8659043512314035 52.359117874105024, 4.865903579939911 52.358933612845654, 4.865794975482954 52.358820131549905, 4.865534314242541 52.35885179742642, 4.867129821911471 52.356101717000456, 4.8671937530442495 52.35601492450061, 4.867294818218346 52.35602740303977, 4.867397064661588 52.356019241807644, 4.867494139249654 52.35597765029725, 4.867582201869158 52.35591465525521, 4.86763452227827 52.35585030789899, 4.867974063047021 52.355266649966325, 4.868157199526457 52.35531893500693, 4.868910821970265 52.354364780546405, 4.869037532267149 52.35416183450707, 4.86978970780414 52.353181163114314, 4.869939815503755 52.353085820934176, 4.870070432761661 52.35300285943436, 4.870403344315838 52.352537651027895, 4.870560471173934 52.35206976911995, 4.870854594975267 52.352116575553005, 4.871918469405377 52.35221571802366, 4.872994707126245 52.352212246453135, 4.873541512333927 52.352172701739825, 4.8774879193671445 52.351470462743436, 4.879047426148993 52.3511922922863, 4.883678844293366 52.350364476919694, 4.884777033036259 52.34955479908755, 4.886276366650344 52.348471820076014, 4.886521442376361 52.35065435579624, 4.886480060865118 52.35223436219252, 4.886493871348527 52.35276529100418, 4.886512674769131 52.35288749607041, 4.886562218799272 52.35302748308971, 4.886618893802855 52.35314690032263, 4.88676788034306 52.35337816488868, 4.886763247582049 52.35354820246805, 4.886780649090118 52.35393672645048, 4.886772580393942 52.354410175784125, 4.886754326339485 52.35462052869327, 4.8866926618268005 52.35529344105616, 4.886577060443121 52.356851588565576, 4.886598256781603 52.357265428857524, 4.886718369472845 52.35873043490811))",1931
3630970000030,1,2022-01-04T14:39:38,Geuzenbuurt,EL,2022-03-24T00:00:00,,2022-02-16,VN2022-001699,WK0363EL,3630011872036,3630950000026.0,"POLYGON ((4.864433495308138 52.37541121331008, 4.862861391396128 52.375196744578595, 4.862065535870815 52.375090083530445, 4.860451520592538 52.374912120666934, 4.859744599260254 52.37478901455503, 4.858697887101112 52.37466305786596, 4.858563231209436 52.37465386449119, 4.857686056048927 52.37459752857864, 4.855562444632974 52.374355940561195, 4.856550522477436 52.3711245290557, 4.856975633319684 52.37119616041727, 4.857882256768008 52.37132373545657, 4.85888697485393 52.37144392195337, 4.859070460115526 52.371456829039374, 4.859603050173257 52.37151248275515, 4.859767054676257 52.37151512783921, 4.859963286862341 52.37149710062477, 4.8629914230599205 52.370925579783595, 4.863260139392553 52.37084716488177, 4.863650682564514 52.37066583037687, 4.864033390050974 52.37048500821501, 4.865021697959995 52.370136665614204, 4.866351980173796 52.37158567570492, 4.867230836281678 52.37253913669004, 4.864937535838068 52.37445389938762, 4.864851729693136 52.37453381719994, 4.864759155410662 52.37464099181246, 4.86468387110664 52.374755136234626, 4.864631015751429 52.37486635972117, 4.864433495308138 52.37541121331008))",0
3630970000034,1,2022-01-04T14:39:38,Da Costabuurt,EQ,2022-03-24T00:00:00,,2022-02-16,VN2022-001699,WK0363EQ,3630011872036,3630950000026.0,"POLYGON ((4.8744976128435304 52.371887264729686, 4.874446105566978 52.37205832967522, 4.874434239913924 52.3721993944968, 4.8744776373652305 52.372322156965105, 4.874549856326816 52.372447821411164, 4.874639657486876 52.372560385924416, 4.874777300138244 52.37268828375403, 4.874825084181699 52.372725079549035, 4.875162798658754 52.37292216717396, 4.875229750539299 52.3729726171472, 4.875290221556972 52.37303368950922, 4.875378471796294 52.373148574553184, 4.875426039269469 52.37323349839517, 4.875481453021743 52.37340840520897, 4.869638964900855 52.372242028783745, 4.867399794064533 52.37179492195353, 4.869580120213508 52.36860327897216, 4.870803650936799 52.36684860838215, 4.873793427888744 52.36771238977124, 4.876803575784634 52.3685015308991, 4.876673890334637 52.36867544150222, 4.876297120630308 52.368964892758484, 4.875987329082794 52.36925198963729, 4.875800551176547 52.36946012067378, 4.875668717586298 52.36963764293672, 4.875039284205583 52.37068157827272, 4.8744976128435304 52.371887264729686))",0
3630970000035,1,2022-01-04T14:39:38,Westindische Buurt,ER,2022-03-24T00:00:00,,2022-02-16,VN2022-001699,WK0363ER,3630011872036,3630950000026.0,"POLYGON ((4.857450494832274 52.361548111430004, 4.857632251440173 52.36183892339483, 4.857848205827385 52.36212083731396, 4.859233345980069 52.36366882601106, 4.858337098287321 52.36414311748864, 4.858248137975746 52.36420627239463, 4.857630782275733 52.364255982892495, 4.85660032022846 52.36416377434121, 4.855668910398698 52.36385540584209, 4.853184693916695 52.363551180481785, 4.851651728505422 52.3633675833641, 4.849455189021251 52.36336485240452, 4.84950978914766 52.36094804149573, 4.848884597348351 52.36075715830738, 4.848879831841916 52.358042572432566, 4.848886069630248 52.35791197265661, 4.850036205430371 52.35792012740734, 4.850281618662194 52.357915299892134, 4.8505696047917715 52.35791029637531, 4.8521703379312475 52.35792152380805, 4.852450442713145 52.357905407171124, 4.852644220653543 52.35791332879971, 4.852837874545637 52.35793765221326, 4.853001826104844 52.35798683623306, 4.853399268965881 52.358071685028904, 4.853544841108632 52.35809536802584, 4.853617487390497 52.35809076122706, 4.85389132759672 52.358021863780586, 4.854775983592468 52.357753687755455, 4.854859546851358 52.35785953493173, 4.856436892949299 52.35981732951585, 4.856698746232924 52.360117975246, 4.856826456730767 52.36028815539647, 4.856964276960976 52.36049938281276, 4.8570799703033884 52.360708542652574, 4.857180176113605 52.360928813789805, 4.857324076815559 52.36129501680708, 4.857450494832274 52.361548111430004))",0
