Id,Zaaknummer,Zaaknaam,Adres,Zaakcategorie,Zaakspecificatie,Begindatum,Einddatum,Openingstijdenzodovan,Openingstijdenzodotot,Openingstijdenvrzavan,Openingstijdenvrzatot,Otijdenterraszodovan,Otijdenterraszodotot,Otijdenterrasvrzavan,Otijdenterrasvrzatot,Locatie,Terrasgeometrie,Postcode,Statusvergunning,Statustijdelijkterras,Toestemmingtijdelijkterras,Publbesluittijdelijkterras,Tijdelijkterrasdetails,Statusverlengingtijdelijkterras,Verlengingtijdelijkterrasdetails,Lon,Lat
0,413,Snackbar Constantijn,Eerste Constantijn Huygensstraat 84-H,Fastfood,Snackbar,2021-01-01,2024-01-01,07.00,01.00,07.00,03.00,07.00,00.00,07.00,00.00,SRID=28992;POINT (120090 486268),"SRID=28992;MULTIPOLYGON (((120094.204672154 486272.465801146, 120092.367423188 486271.675537741, 120092.762505673 486270.75689209, 120094.599754638 486271.547155494, 120094.204672154 486272.465801146)), ((120095.468936103 486269.52613506, 120093.631687138 486268.735871655, 120094.229 486267.347, 120094.275 486267.367, 120094.467 486266.918, 120096.259101072 486267.688843757, 120095.468936103 486269.52613506)))",1054BX,Verleend,,,,,,,4.87468543858285,52.36319042614718
1,439,Restaurant Ufuk,Jan Evertsenstraat 64-H,Restaurant,Restaurant,2019-10-01,2024-09-01,07.00,01.00,07.00,03.00,07.00,23.00,07.00,23.00,SRID=28992;POINT (118793.547 487157.91),"SRID=28992;MULTIPOLYGON (((118782.251 487160.756, 118781.266380492 487160.581287598, 118782.489367309 487153.688951038, 118783.473986817 487153.863663441, 118782.251 487160.756)))",1056ED,Verleend,,,,,,,4.855556954058733,52.371104350773976
2,443,Coffeeshop Flash Back,Hudsonstraat 138,Coffeeshop,Coffeeshop,2022-03-01,2025-03-01,07.00,01.00,07.00,01.00,,,,,SRID=28992;POINT (118618 486899),,1057SR,Verleend,,,,,,,4.853007391335484,52.368765859764856
3,483,Snackpoint Break Even,Postjesweg 89-H,Fastfood,Snackbar,2020-11-01,2025-11-01,07.00,01.00,07.00,03.00,07.00,01.00,07.00,01.00,SRID=28992;POINT (118699 486380),,1057DX,Verleend,,,,,,,4.854252702487328,52.36410683289403
4,509,Café-Koffiehuis de Zwijger,Willem de Zwijgerlaan 157,Café,Café,2018-06-01,2023-06-01,07.00,01.00,07.00,03.00,07.00,01.00,07.00,01.00,SRID=28992;POINT (119272 487575),,1056JL,Verleend,,,,,,,4.862537827237912,52.37488418177372
5,515,Café 't Stoplicht,Witte de Withstraat 153,Café,Café,2021-05-01,2024-05-01,07.00,01.00,07.00,03.00,,,,,SRID=28992;POINT (119009 487182),,1057XT,Verleend,,,,,,,4.8587179082644,52.371335016531305
6,526,Gijs de Rooy,Javastraat 1-H,Café,Café,2020-11-03,2023-12-01,07.00,01.00,07.00,03.00,07.00,01.00,07.00,02.00,SRID=28992;POINT (123969 486284),"SRID=28992;MULTIPOLYGON (((123973.798 486273.536, 123972.656974794 486277.681848704, 123968.51112609 486276.540823498, 123969.652151296 486272.394974794, 123973.798 486273.536)), ((123967.171 486280.704, 123967.542496579 486279.354188794, 123973.025563485 486280.863244718, 123972.654066906 486282.213055924, 123967.171 486280.704)), ((123965.758 486281.792, 123965.622885464 486287.690452684, 123964.223252624 486287.658391607, 123964.35836716 486281.759938924, 123965.758 486281.792)))",1094GX,Verleend,,,,,,,4.931630298289725,52.36356705370574
7,528,Turks Cafe/Restaurant Derya,Javastraat 34-H,Eethuis,Eethuis,2021-10-01,2026-10-01,07.00,01.00,07.00,03.00,,,,,SRID=28992;POINT (124069.371 486275.704),,1094HH,Verleend,,,,,,,4.93310458904687,52.363498155595096
8,538,Coffeeshop 156,Hudsonstraat 156,Coffeeshop,Coffeeshop,2022-11-01,2025-11-01,07.00,01.00,07.00,01.00,,,,,SRID=28992;POINT (118582 486998),,1057ST,Verleend,,,,,,,4.8524681001437635,52.36965321154191
9,1428,La Vallade B.V.,Ringdijk 23-H,Café,Eetcafé,2021-06-01,2026-06-01,07.00,01.00,07.00,03.00,07.00,23.00,07.00,00.00,SRID=28992;POINT (123640 485249),"SRID=28992;MULTIPOLYGON (((123636.36 485249.66, 123633.792197687 485247.281683099, 123648.40185865 485231.508040319, 123651.047818647 485233.958747427, 123649.092 485236.373, 123647.653 485237.766, 123645.92 485239.34, 123642.137 485243.425, 123641.117 485244.524, 123636.36 485249.66)))",1097AB,Verleend,,,,,,,4.926896812683598,52.354246460247495
