id,wegklasse,hoogteniveau,straatnaam,indicatie_voet_fiets,indicatie_brug,indicatie_tunnel,indicatie_ov_bus,indicatie_spoor,indicatie_toegankelijkheid,type_veer_route,minimum_breedte,maximum_breedte,gewogen_gemiddelde_breedte,weight,maximum_snelheid,start_node_id,end_node_id,datum_extractie,geometrie,geometrie_epsg_4326
253831,osm_platform,-2,Centraal Station,True,False,True,False,False,False,,,,,19.52,0.0,759739,759765,2023-07-25,"SRID=28992;LINESTRING(121846.061293057 487954.232124116,121855.800919625 487971.147065347)","[(52.37845390414534, 4.900299201237961), (52.37860651162877, 4.900440565803836)]"
258648,osm_platform,-2,Centraal Station,True,False,True,False,False,False,,,,,5.52,0.0,759765,771559,2023-07-25,"SRID=28992;LINESTRING(121855.800919625 487971.147065347,121858.554229771 487975.92877633)","[(52.37860651162877, 4.900440565803836), (52.37864965244379, 4.900480528548531)]"
258655,osm_platform,-2,Centraal Station,True,False,True,False,False,False,,,,,13.1,0.0,771559,771568,2023-07-25,"SRID=28992;LINESTRING(121858.554229771 487975.92877633,121865.088591036 487987.277089944)","[(52.37864965244379, 4.900480528548531), (52.37875203739278, 4.9005753714297295)]"
258670,osm_platform,-2,Centraal Station,True,False,True,False,False,False,,,,,33.51,0.0,771623,771698,2023-07-25,"SRID=28992;LINESTRING(121885.664943963 488023.012320458,121902.383849936 488052.048270657)","[(52.37907444159536, 4.900874029430592), (52.37933640414584, 4.901116701238819)]"
258672,osm_platform,-2,Centraal Station,True,False,True,False,False,False,,,,,5.61,0.0,771568,771570,2023-07-25,"SRID=28992;LINESTRING(121865.088591036 487987.277089944,121867.885723987 487992.134908582)","[(52.37875203739278, 4.9005753714297295), (52.37879586480724, 4.900615970504571)]"
258733,osm_platform,-2,Centraal Station,True,False,True,False,False,False,,,,,35.63,0.0,771570,771623,2023-07-25,"SRID=28992;LINESTRING(121867.885723987 487992.134908582,121885.664943963 488023.012320458)","[(52.37879586480724, 4.900615970504571), (52.37907444159536, 4.900874029430592)]"
274239,osm_platform,0,De Entree,True,False,False,True,False,False,,,,,18.16,0.0,816943,816941,2023-07-25,"SRID=28992;LINESTRING(124286.841932518 480447.705452574,124284.494654047 480446.395964717,124270.965472862 480438.880540243)","[(52.31113180410528, 4.936828801271286), (52.311119904105304, 4.93679450127125), (52.31105160410524, 4.936596801271039)]"
453087,osm_platform,0,Nieuwe Meerlaan,True,False,False,True,False,False,,,,,16.7,0.0,137212,137214,2023-07-25,"SRID=28992;LINESTRING(116454.290294534 480121.417411082,116470.916504519 480122.956843086)","[(52.307706304103505, 4.8220150011563225), (52.30772130410351, 4.822258601156572)]"
454585,osm_platform,0,,True,False,False,False,False,False,,,,,16.53,0.0,256117,256119,2023-07-25,"SRID=28992;LINESTRING(114694.77833736 490132.866854573,114710.017104806 490132.742328432,114711.303359183 490132.720692718)","[(52.39755520415678, 4.795017501133776), (52.39755520415675, 4.795241401133991), (52.39755510415672, 4.7952603011340145)]"
473436,osm_platform,1,,True,True,False,True,False,False,,,,,2.97,0.0,965487,965488,2023-07-25,"SRID=28992;LINESTRING(124169.251508369 484895.636393827,124171.336865611 484893.520425543)","[(52.35110060412903, 4.9346974012710225), (52.35108170412904, 4.934728201271056)]"
473440,osm_platform,0,,True,False,False,True,False,False,,,,,35.36,0.0,963189,965487,2023-07-25,"SRID=28992;LINESTRING(124144.430506827 484920.82653262,124169.251508369 484895.636393827)","[(52.35132560412916, 4.934330801270666), (52.35110060412903, 4.9346974012710225)]"
474408,osm_platform,1,,True,True,False,True,False,False,,,,,11.97,0.0,973826,973819,2023-07-25,"SRID=28992;LINESTRING(124550.424872603 484517.288852908,124558.677726816 484508.614783794)","[(52.34772150412696, 4.940326001276493), (52.34764400412696, 4.940447901276612)]"
474410,osm_platform,0,,True,False,False,True,False,False,,,,,1.5,0.0,973825,973826,2023-07-25,"SRID=28992;LINESTRING(124549.39590021 484518.38561385,124550.424872603 484517.288852908)","[(52.34773130412704, 4.940310801276473), (52.34772150412696, 4.940326001276493)]"
477495,osm_platform,0,De Binding,True,False,False,True,False,False,,,,,5.36,0.0,1236613,1236615,2023-07-25,"SRID=28992;LINESTRING(115031.935276597 496240.048852569,115030.413908969 496245.189229826)","[(52.4524656041889, 4.79924270114071), (52.45251168990793, 4.799219707886974)]"
477496,osm_platform,0,De Binding,True,False,False,True,False,False,,,,,10.87,0.0,1236615,1236612,2023-07-25,"SRID=28992;LINESTRING(115030.413908969 496245.189229826,115027.330144857 496255.608612102)","[(52.45251168990793, 4.799219707886974), (52.452605104188954, 4.799173101140657)]"
477501,osm_platform,0,De Binding,True,False,False,True,False,False,,,,,16.88,0.0,1236595,1236598,2023-07-25,"SRID=28992;LINESTRING(115013.124839333 496253.420643535,115017.935595119 496237.236080144)","[(52.45258440418889, 4.798964401140442), (52.45243930418888, 4.799037101140506)]"
477506,osm_platform,0,Mallegatsloot,True,False,False,True,False,False,,,,,16.03,0.0,1239643,1239642,2023-07-25,"SRID=28992;LINESTRING(114946.35073416 496694.14259197,114948.436442916 496678.250148436)","[(52.456540304191236, 4.797929401139605), (52.45639763101146, 4.797961986991671)]"
477511,osm_platform,0,Mallegatsloot,True,False,False,True,False,False,,,,,0.35,0.0,1239642,1239641,2023-07-25,"SRID=28992;LINESTRING(114948.436442916 496678.250148436,114948.482153233 496677.901850231)","[(52.45639763101146, 4.797961986991671), (52.45639450419116, 4.79796270113964)]"
477512,osm_platform,0,Mallegatsloot,True,False,False,True,False,False,,,,,5.69,0.0,1239655,1239657,2023-07-25,"SRID=28992;LINESTRING(114962.717931228 496677.296456449,114962.090422517 496682.955451823)","[(52.456390104191144, 4.798172201139845), (52.456440915824125, 4.798162292550843)]"
